experiment	freq
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A204', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A549', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_ASPC1', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_BXPC3', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_COLO205'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_DU145', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_HEPG2'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_HT29'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_IGROV1', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_KASUMI1', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_LOVO', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB435', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Doxorubicin', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MIAPACA2', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MV411', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH460', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PANC1', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_RAMOS'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SAOS2', 'Doxorubicin'})	2
frozenset({nan, 'M3541', 'Doxorubicin', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_U2OS', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Doxorubicin', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_WSUNHL', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_A204', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_COLO205', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_DU145', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_HEPG2', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'M3814', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_HT29', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_KASUMI1', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'M3814', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'M3814', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_RAMOS', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'M3814', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'Doxorubicin', 'M3814', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'Doxorubicin', 'M3814'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A204', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_A549', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_ASPC1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_BXPC3', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_COLO205', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_DU145', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HEPG2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_HT29', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_IGROV1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_KASUMI1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_LOVO', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB435', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'PD0332991_Palbociclib', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MIAPACA2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MV411', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH460', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PANC1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_RAMOS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SAOS2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_U2OS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'PD0332991_Palbociclib', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_WSUNHL', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_COLO205', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_DU145', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HEPG2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HT29', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_KASUMI1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_LOVO', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB435', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M3814', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_PANC1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RAMOS', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SAOS2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M3814', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_WSUNHL', 'M3814'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_COLO205'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_DU145'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HEPG2'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HT29'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_KASUMI1', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'ONCOLEAD_CELL_LOVO', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({'ONCOLEAD_CELL_MDAMB435', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MHHES1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_PANC1'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_RAMOS'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_RDES'})	2
frozenset({'ONCOLEAD_CELL_SAOS2', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_SW620'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U87MG', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_WSUNHL', 'M3814_M3541', '300nM_500nM'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M4076'})	2
frozenset({nan, 'M4076', 'ONCOLEAD_CELL_COLO205', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_DU145', 'M4076'})	2
frozenset({nan, 'M4076', 'ONCOLEAD_CELL_HEPG2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HL60', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HT29', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_LOVO', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB435', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M4076', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_PANC1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RAMOS', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SAOS2', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M4076'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M4076', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_WSUNHL', 'M4076'})	2
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A204', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A549', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_ASPC1', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_BXPC3', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_COLO205'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_DU145', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_HEPG2'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HL60', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HT29', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_IGROV1', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_LOVO', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_MDAMB231'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MDAMB435', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_MDAMB436'})	4
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M4076', 'VX970_Berzosertib_M6620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MIAPACA2', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_MV411', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_NCIH460', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_PANC1', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_RAMOS', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_RDES'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_SAOS2', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'M4076', 'ONCOLEAD_CELL_SW620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_U2OS', 'M4076'})	4
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M4076', 'VX970_Berzosertib_M6620'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_WSUNHL', 'M4076'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A204', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_A549', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_ASPC1', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_BXPC3', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_COLO205'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_DU145', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_HEPG2'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_HL60', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_HT29'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_IGROV1', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'ONCOLEAD_CELL_LOVO', 'VX803_M4344'})	4
frozenset({nan, 'VX970_Berzosertib_M6620', 'VX803_M4344', 'ONCOLEAD_CELL_MDAMB231'})	4
